participant_code,age,gender,f2f,phone,video,vr_chat,video_game,vr_game,avatar_type,disclosure_source,disclosure_sentiment,enjoyment_rating,comfort_rating,pleasantness_rating,real_person_rating,facial_realism_rating,body_realism_rating,room_realism_rating,space_realism_rating,eye_contact_percentage,pref_enjoyable,pref_comfortable,pref_pleasant,pref_real_person,pref_facial_realistic,pref_body_realistic,pref_room_realistic,pref_space_realistic,pref_eye_contact
D41,55,female,5,4,5,1,1,1,unreal,participant,negative,2,3,4,2,2,2,3,3,64,2,2,2,2,2,2,2,2,2
D41,55,female,5,4,5,1,1,1,unreal,participant,positive,3,3,3,2,2,2,3,3,82,2,2,2,2,2,2,2,2,2
D42,18,male,5,4,2,1,5,1,sync,experimenter,negative,3,3,3,3,3,4,4,4,77,2,2,2,2,1,1,2,2,2
D42,18,male,5,4,2,1,5,1,sync,experimenter,positive,3,4,3,4,3,3,4,4,87,2,2,2,2,1,1,2,2,2
D42,18,male,5,4,2,1,5,1,sync,participant,negative,3,4,4,3,3,2,4,4,74,2,2,2,2,1,1,2,2,2
D42,18,male,5,4,2,1,5,1,sync,participant,positive,5,4,3,4,3,2,4,5,92,2,2,2,2,1,1,2,2,2
D42,18,male,5,4,2,1,5,1,unreal,participant,negative,3,3,2,3,3,4,3,3,65,2,2,2,2,1,1,2,2,2
D42,18,male,5,4,2,1,5,1,unreal,participant,positive,4,3,3,4,3,4,3,3,81,2,2,2,2,1,1,2,2,2
E30,18,female,5,5,2,1,1,1,sync,experimenter,negative,3,4,5,3,2,2,5,5,73,1,1,3,1,1,1,1,2,1
E30,18,female,5,5,2,1,1,1,sync,experimenter,positive,3,4,4,3,2,2,5,5,86,1,1,3,1,1,1,1,2,1
E30,18,female,5,5,2,1,1,1,sync,participant,negative,3,4,5,3,2,2,5,5,88,1,1,3,1,1,1,1,2,1
E30,18,female,5,5,2,1,1,1,sync,participant,positive,4,4,5,2,3,2,5,5,92,1,1,3,1,1,1,1,2,1
E30,18,female,5,5,2,1,1,1,unreal,participant,negative,4,5,4,5,5,3,5,5,100,1,1,3,1,1,1,1,2,1
E30,18,female,5,5,2,1,1,1,unreal,participant,positive,3,5,4,3,5,3,5,5,100,1,1,3,1,1,1,1,2,1
E33,21,female,5,4,3,1,1,1,sync,experimenter,negative,3,4,4,2,2,2,5,5,60,3,3,3,1,1,1,1,2,1
E33,21,female,5,4,3,1,1,1,sync,experimenter,positive,5,4,4,3,2,2,5,5,65,3,3,3,1,1,1,1,2,1
E33,21,female,5,4,3,1,1,1,sync,participant,negative,3,4,4,2,2,2,5,5,60,3,3,3,1,1,1,1,2,1
E33,21,female,5,4,3,1,1,1,sync,participant,positive,3,3,3,3,2,2,5,5,70,3,3,3,1,1,1,1,2,1
E33,21,female,5,4,3,1,1,1,unreal,participant,negative,3,5,5,4,2,3,5,5,90,3,3,3,1,1,1,1,2,1
E33,21,female,5,4,3,1,1,1,unreal,participant,positive,4,5,5,3,2,3,5,5,80,3,3,3,1,1,1,1,2,1
F17,19,male,5,5,3,1,4,2,sync,experimenter,negative,4,5,4,5,4,5,4,3,41,2,2,2,2,2,1,1,1,2
F17,19,male,5,5,3,1,4,2,sync,experimenter,positive,3,5,4,5,3,5,4,4,36,2,2,2,2,2,1,1,1,2
F17,19,male,5,5,3,1,4,2,sync,participant,negative,4,5,4,5,4,3,4,3,40,2,2,2,2,2,1,1,1,2
F17,19,male,5,5,3,1,4,2,sync,participant,positive,4,4,4,5,4,4,3,3,41,2,2,2,2,2,1,1,1,2
F17,19,male,5,5,3,1,4,2,unreal,participant,negative,2,4,4,2,2,2,3,4,10,2,2,2,2,2,1,1,1,2
F17,19,male,5,5,3,1,4,2,unreal,participant,positive,4,4,3,3,2,2,3,4,20,2,2,2,2,2,1,1,1,2
G36,52,female,5,5,4,2,1,2,sync,experimenter,negative,4,5,4,2,2,2,2,5,8,1,1,1,1,1,1,1,1,1
G36,52,female,5,5,4,2,1,2,sync,experimenter,positive,5,5,5,2,2,2,2,5,10,1,1,1,1,1,1,1,1,1
G36,52,female,5,5,4,2,1,2,sync,participant,negative,4,4,5,2,2,2,2,5,15,1,1,1,1,1,1,1,1,1
G36,52,female,5,5,4,2,1,2,sync,participant,positive,5,5,5,3,2,2,2,4,15,1,1,1,1,1,1,1,1,1
G36,52,female,5,5,4,2,1,2,unreal,participant,negative,5,5,5,4,4,4,3,5,50,1,1,1,1,1,1,1,1,1
G36,52,female,5,5,4,2,1,2,unreal,participant,positive,5,5,5,3,3,3,3,5,50,1,1,1,1,1,1,1,1,1
G50,64,female,5,5,4,1,1,1,sync,experimenter,negative,4,5,4,3,3,3,2,5,49,1,1,1,1,1,1,2,2,1
G50,64,female,5,5,4,1,1,1,sync,experimenter,positive,4,5,4,3,3,3,5,5,40,1,1,1,1,1,1,2,2,1
G50,64,female,5,5,4,1,1,1,sync,participant,negative,4,4,5,2,3,2,5,4,61,1,1,1,1,1,1,2,2,1
G50,64,female,5,5,4,1,1,1,sync,participant,positive,4,5,4,3,3,3,4,4,60,1,1,1,1,1,1,2,2,1
G50,64,female,5,5,4,1,1,1,unreal,participant,negative,4,5,4,4,4,5,5,5,60,1,1,1,1,1,1,2,2,1
G50,64,female,5,5,4,1,1,1,unreal,participant,positive,4,5,4,4,4,4,5,5,41,1,1,1,1,1,1,2,2,1
H51,35,female,2,2,2,1,1,1,sync,experimenter,negative,4,4,4,4,3,3,4,4,90,1,1,3,1,1,1,1,3,2
H51,35,female,2,2,2,1,1,1,sync,experimenter,positive,3,4,4,4,3,3,4,4,90,1,1,3,1,1,1,1,3,2
H51,35,female,2,2,2,1,1,1,sync,participant,negative,4,4,4,4,3,3,4,4,90,1,1,3,1,1,1,1,3,2
H51,35,female,2,2,2,1,1,1,sync,participant,positive,4,4,5,4,3,3,4,4,90,1,1,3,1,1,1,1,3,2
H51,35,female,2,2,2,1,1,1,unreal,participant,negative,4,4,4,3,3,3,4,4,60,1,1,3,1,1,1,1,3,2
H51,35,female,2,2,2,1,1,1,unreal,participant,positive,3,3,3,3,3,3,4,4,61,1,1,3,1,1,1,1,3,2
I1,35,female,4,5,5,1,5,1,sync,experimenter,negative,5,4,5,3,2,3,4,4,20,1,1,1,1,1,1,2,2,1
I1,35,female,4,5,5,1,5,1,sync,experimenter,positive,5,4,5,3,2,3,4,4,16,1,1,1,1,1,1,2,2,1
I1,35,female,4,5,5,1,5,1,sync,participant,negative,5,4,5,3,2,3,4,4,20,1,1,1,1,1,1,2,2,1
I1,35,female,4,5,5,1,5,1,sync,participant,positive,5,4,5,3,2,3,4,4,15,1,1,1,1,1,1,2,2,1
I1,35,female,4,5,5,1,5,1,unreal,participant,negative,5,4,5,4,4,4,4,4,80,1,1,1,1,1,1,2,2,1
I1,35,female,4,5,5,1,5,1,unreal,participant,positive,5,4,5,4,4,4,4,4,75,1,1,1,1,1,1,2,2,1
I19,27,male,5,4,3,1,2,2,sync,experimenter,negative,3,4,3,3,2,2,2,3,62,2,3,2,2,1,2,1,2,2
I19,27,male,5,4,3,1,2,2,sync,experimenter,positive,3,3,3,3,2,2,2,3,61,2,3,2,2,1,2,1,2,2
I19,27,male,5,4,3,1,2,2,sync,participant,negative,2,3,3,2,2,2,3,4,40,2,3,2,2,1,2,1,2,2
I19,27,male,5,4,3,1,2,2,sync,participant,positive,3,3,3,2,2,2,3,3,50,2,3,2,2,1,2,1,2,2
I19,27,male,5,4,3,1,2,2,unreal,participant,negative,2,4,4,3,2,2,4,3,30,2,3,2,2,1,2,1,2,2
I19,27,male,5,4,3,1,2,2,unreal,participant,positive,2,4,4,3,2,2,3,3,30,2,3,2,2,1,2,1,2,2
I49,24,female,5,5,2,1,3,1,sync,experimenter,negative,4,4,2,3,2,2,3,2,77,2,2,1,2,2,2,2,2,2
I49,24,female,5,5,2,1,3,1,sync,experimenter,positive,4,3,3,4,3,2,3,3,83,2,2,1,2,2,2,2,2,2
I49,24,female,5,5,2,1,3,1,sync,participant,negative,2,2,2,2,3,3,3,3,82,2,2,1,2,2,2,2,2,2
I49,24,female,5,5,2,1,3,1,sync,participant,positive,4,4,4,3,3,3,3,3,88,2,2,1,2,2,2,2,2,2
I49,24,female,5,5,2,1,3,1,unreal,participant,negative,3,2,3,2,2,2,3,3,71,2,2,1,2,2,2,2,2,2
I49,24,female,5,5,2,1,3,1,unreal,participant,positive,4,3,3,2,2,2,3,3,81,2,2,1,2,2,2,2,2,2
J13,23,female,5,4,2,1,2,2,sync,experimenter,negative,2,3,3,2,2,2,3,3,61,2,2,2,1,1,1,1,2,1
J13,23,female,5,4,2,1,2,2,sync,experimenter,positive,3,3,3,3,2,2,3,3,58,2,2,2,1,1,1,1,2,1
J13,23,female,5,4,2,1,2,2,sync,participant,negative,2,3,3,2,2,2,3,3,61,2,2,2,1,1,1,1,2,1
J13,23,female,5,4,2,1,2,2,sync,participant,positive,3,3,3,2,2,2,3,3,65,2,2,2,1,1,1,1,2,1
J13,23,female,5,4,2,1,2,2,unreal,participant,negative,2,2,3,2,2,2,3,3,89,2,2,2,1,1,1,1,2,1
J13,23,female,5,4,2,1,2,2,unreal,participant,positive,3,3,3,2,2,2,2,3,89,2,2,2,1,1,1,1,2,1
J29,61,female,2,5,2,1,1,1,sync,experimenter,negative,4,4,4,4,4,4,4,4,94,2,2,2,2,2,2,2,2,2
J29,61,female,2,5,2,1,1,1,sync,experimenter,positive,5,4,5,5,4,4,4,4,95,2,2,2,2,2,2,2,2,2
J29,61,female,2,5,2,1,1,1,sync,participant,negative,5,5,5,4,4,4,5,4,94,2,2,2,2,2,2,2,2,2
J29,61,female,2,5,2,1,1,1,sync,participant,positive,5,4,4,4,4,5,4,4,95,2,2,2,2,2,2,2,2,2
J29,61,female,2,5,2,1,1,1,unreal,participant,negative,4,5,5,4,2,3,3,3,94,2,2,2,2,2,2,2,2,2
J29,61,female,2,5,2,1,1,1,unreal,participant,positive,5,4,5,3,4,3,3,4,81,2,2,2,2,2,2,2,2,2
J34,30,male,5,5,3,1,3,1,sync,experimenter,negative,3,3,3,3,2,2,4,4,60,1,1,1,1,2,1,1,1,1
J34,30,male,5,5,3,1,3,1,sync,experimenter,positive,3,3,3,3,2,2,4,4,60,1,1,1,1,2,1,1,1,1
J34,30,male,5,5,3,1,3,1,sync,participant,negative,2,3,3,2,2,2,3,4,60,1,1,1,1,2,1,1,1,1
J34,30,male,5,5,3,1,3,1,sync,participant,positive,2,3,2,2,2,2,4,4,60,1,1,1,1,2,1,1,1,1
J34,30,male,5,5,3,1,3,1,unreal,participant,negative,4,4,4,4,2,3,4,4,80,1,1,1,1,2,1,1,1,1
J34,30,male,5,5,3,1,3,1,unreal,participant,positive,4,4,4,4,2,3,4,4,80,1,1,1,1,2,1,1,1,1
J43,22,female,5,4,2,1,3,1,sync,experimenter,negative,2,2,4,3,3,2,1,4,90,2,2,2,2,2,2,1,2,3
J43,22,female,5,4,2,1,3,1,sync,experimenter,positive,3,3,3,3,2,2,1,4,91,2,2,2,2,2,2,1,2,3
J43,22,female,5,4,2,1,3,1,sync,participant,negative,2,4,3,3,3,3,1,4,91,2,2,2,2,2,2,1,2,3
J43,22,female,5,4,2,1,3,1,sync,participant,positive,3,4,4,4,2,2,1,4,91,2,2,2,2,2,2,1,2,3
J43,22,female,5,4,2,1,3,1,unreal,participant,negative,2,2,4,2,2,2,2,2,81,2,2,2,2,2,2,1,2,3
J43,22,female,5,4,2,1,3,1,unreal,participant,positive,3,3,2,2,2,2,2,2,80,2,2,2,2,2,2,1,2,3
J52,25,female,5,4,5,2,3,2,sync,experimenter,negative,4,4,4,4,1,2,4,5,33,1,1,1,1,1,1,1,1,1
J52,25,female,5,4,5,2,3,2,sync,experimenter,positive,4,4,4,2,2,2,5,5,39,1,1,1,1,1,1,1,1,1
J52,25,female,5,4,5,2,3,2,sync,participant,negative,4,4,4,3,1,2,4,5,29,1,1,1,1,1,1,1,1,1
J52,25,female,5,4,5,2,3,2,sync,participant,positive,4,4,4,3,1,2,4,5,30,1,1,1,1,1,1,1,1,1
J52,25,female,5,4,5,2,3,2,unreal,participant,negative,4,5,5,4,3,4,5,5,84,1,1,1,1,1,1,1,1,1
J52,25,female,5,4,5,2,3,2,unreal,participant,positive,4,4,5,4,3,4,4,5,85,1,1,1,1,1,1,1,1,1
K31,55,female,2,1,2,2,2,2,sync,experimenter,negative,2,2,2,2,1,1,2,2,40,1,1,1,3,1,1,2,2,1
K31,55,female,2,1,2,2,2,2,sync,experimenter,positive,1,2,1,2,1,1,2,2,20,1,1,1,3,1,1,2,2,1
K31,55,female,2,1,2,2,2,2,sync,participant,negative,3,2,2,2,1,1,2,2,41,1,1,1,3,1,1,2,2,1
K31,55,female,2,1,2,2,2,2,sync,participant,positive,3,2,2,1,1,1,2,2,30,1,1,1,3,1,1,2,2,1
K31,55,female,2,1,2,2,2,2,unreal,participant,negative,1,1,2,1,2,2,1,1,30,1,1,1,3,1,1,2,2,1
K31,55,female,2,1,2,2,2,2,unreal,participant,positive,2,2,2,1,2,2,1,1,40,1,1,1,3,1,1,2,2,1
K52,29,female,5,5,5,1,5,1,sync,experimenter,negative,4,4,4,3,2,2,3,4,10,1,1,1,1,3,3,1,2,1
K52,29,female,5,5,5,1,5,1,sync,experimenter,positive,4,4,4,4,2,2,2,2,10,1,1,1,1,3,3,1,2,1
K52,29,female,5,5,5,1,5,1,sync,participant,negative,4,3,3,2,2,2,4,4,10,1,1,1,1,3,3,1,2,1
K52,29,female,5,5,5,1,5,1,sync,participant,positive,4,4,4,2,2,1,4,4,10,1,1,1,1,3,3,1,2,1
K52,29,female,5,5,5,1,5,1,unreal,participant,negative,4,4,4,3,3,2,3,5,20,1,1,1,1,3,3,1,2,1
K52,29,female,5,5,5,1,5,1,unreal,participant,positive,4,4,4,3,2,2,3,4,19,1,1,1,1,3,3,1,2,1
L15,29,male,5,5,5,1,5,1,sync,experimenter,negative,3,4,4,3,3,3,4,4,50,1,1,1,1,2,2,2,2,1
