participant_code,age,gender,f2f,phone,video,vr_chat,video_game,vr_game,avatar_type,disclosure_source,disclosure_sentiment,enjoyment_rating,comfort_rating,pleasantness_rating,real_person_rating,facial_realism_rating,body_realism_rating,room_realism_rating,space_realism_rating,eye_contact_percentage,pref_enjoyable,pref_comfortable,pref_pleasant,pref_real_person,pref_facial_realistic,pref_body_realistic,pref_room_realistic,pref_space_realistic,pref_eye_contact
N10,48,female,5,5,5,1,1,1,unreal,participant,negative,3,3,3,2,1,1,2,2,9,1,1,1,3,1,1,3,1,1
N10,48,female,5,5,5,1,1,1,unreal,participant,positive,3,4,3,2,2,2,2,2,12,1,1,1,3,1,1,3,1,1
N22,32,female,5,5,5,5,1,1,sync,experimenter,negative,,4,,4,3,5,5,4,80,1,1,1,1,1,1,1,1,1
N22,32,female,5,5,5,5,1,1,sync,experimenter,positive,5,4,5,5,3,4,5,4,80,1,1,1,1,1,1,1,1,1
N22,32,female,5,5,5,5,1,1,sync,participant,negative,4,5,5,4,3,4,4,5,80,1,1,1,1,1,1,1,1,1
N22,32,female,5,5,5,5,1,1,sync,participant,positive,5,5,4,4,2,4,5,5,83,1,1,1,1,1,1,1,1,1
N22,32,female,5,5,5,5,1,1,unreal,participant,negative,5,5,5,5,5,4,5,5,90,1,1,1,1,1,1,1,1,1
N22,32,female,5,5,5,5,1,1,unreal,participant,positive,4,4,5,5,5,4,5,5,92,1,1,1,1,1,1,1,1,1
N44,19,female,5,5,3,2,2,2,sync,experimenter,negative,1,2,2,1,1,1,2,4,70,1,1,1,1,1,1,1,1,2
N44,19,female,5,5,3,2,2,2,sync,experimenter,positive,2,1,2,2,1,1,3,4,71,1,1,1,1,1,1,1,1,2
N44,19,female,5,5,3,2,2,2,sync,participant,negative,1,2,1,1,1,1,1,4,29,1,1,1,1,1,1,1,1,2
N44,19,female,5,5,3,2,2,2,sync,participant,positive,1,2,2,1,1,1,1,3,64,1,1,1,1,1,1,1,1,2
N44,19,female,5,5,3,2,2,2,unreal,participant,negative,2,2,2,1,1,1,3,4,77,1,1,1,1,1,1,1,1,2
N44,19,female,5,5,3,2,2,2,unreal,participant,positive,2,1,2,1,1,1,1,4,54,1,1,1,1,1,1,1,1,2
