participant_code,age,gender,f2f,phone,video,vr_chat,video_game,vr_game,avatar_type,disclosure_sentiment,enjoyment_rating,comfort_rating,pleasantness_rating,real_person_rating,facial_realism_rating,body_realism_rating,pref_enjoyable,pref_comfortable,pref_pleasant,pref_real_person,pref_facial_realistic,pref_body_realistic
B58,23,Male,5,4,3,2,5,1,high,negative,2,3,4,3,2,2,1,1,1,2,2,2
B58,23,Male,5,4,3,2,5,1,low,positive,4,4,4,4,4,4,1,1,1,2,2,2
B58,23,Male,5,4,3,2,5,1,low,negative,2,3,3,4,4,4,1,1,1,2,2,2
B58,23,Male,5,4,3,2,5,1,medium,positive,4,5,4,5,5,4,1,1,1,2,2,2
B58,23,Male,5,4,3,2,5,1,medium,negative,3,3,3,4,5,4,1,1,1,2,2,2
D59,21,Female,5,5,3,1,2,2,low,positive,4,4,5,4,5,5,3,3,3,3,2,3
D59,21,Female,5,5,3,1,2,2,low,negative,4,5,4,4,5,5,3,3,3,3,2,3
D59,21,Female,5,5,3,1,2,2,medium,positive,4,5,5,5,5,5,3,3,3,3,2,3
D59,21,Female,5,5,3,1,2,2,medium,negative,3,4,5,5,5,5,3,3,3,3,2,3
D59,21,Female,5,5,3,1,2,2,high,positive,5,5,5,5,5,5,3,3,3,3,2,3
D59,21,Female,5,5,3,1,2,2,high,negative,1,4,5,5,5,5,3,3,3,3,2,3
K60,37,Female,5,5,5,2,4,1,medium,positive,3,5,5,3,3,3,3,3,3,3,3,1
K60,37,Female,5,5,5,2,4,1,medium,negative,4,4,4,3,3,3,3,3,3,3,3,1
K60,37,Female,5,5,5,2,4,1,high,positive,5,5,5,5,4,3,3,3,3,3,3,1
K60,37,Female,5,5,5,2,4,1,high,negative,4,4,4,4,4,3,3,3,3,3,3,1
K60,37,Female,5,5,5,2,4,1,low,positive,5,5,5,4,3,4,3,3,3,3,3,1
K60,37,Female,5,5,5,2,4,1,low,negative,4,5,5,3,3,4,3,3,3,3,3,1
S61,32,Male,3,1,2,3,1,1,high,positive,3,3,3,2,1,4,1,3,1,1,1,3
S61,32,Male,3,1,2,3,1,1,high,negative,3,3,4,4,2,3,1,3,1,1,1,3
S61,32,Male,3,1,2,3,1,1,low,positive,4,4,4,1,4,4,1,3,1,1,1,3
S61,32,Male,3,1,2,3,1,1,low,negative,2,3,4,1,1,2,1,3,1,1,1,3
S61,32,Male,3,1,2,3,1,1,medium,positive,4,4,4,1,1,2,1,3,1,1,1,3
S61,32,Male,3,1,2,3,1,1,medium,negative,4,3,3,4,1,2,1,3,1,1,1,3
H62,18,Male,5,4,3,1,3,2,low,positive,3,3,3,2,1,1,1,1,3,1,1,3
H62,18,Male,5,4,3,1,3,2,low,negative,2,2,3,2,1,1,1,1,3,1,1,3
H62,18,Male,5,4,3,1,3,2,medium,positive,3,3,3,2,1,1,1,1,3,1,1,3
H62,18,Male,5,4,3,1,3,2,medium,negative,2,2,3,2,1,1,1,1,3,1,1,3
H62,18,Male,5,4,3,1,3,2,high,positive,2,2,3,2,1,1,1,1,3,1,1,3
H62,18,Male,5,4,3,1,3,2,high,negative,2,1,3,2,1,1,1,1,3,1,1,3
M63,20,Female,5,4,2,1,1,1,medium,positive,3,3,3,2,2,2,1,2,2,3,3,1
M63,20,Female,5,4,2,1,1,1,medium,negative,2,3,2,3,2,2,1,2,2,3,3,1
