outcome,effect,beta_median,beta_low,beta_high,pd,dz_method,dz_median,dz_low,dz_high,dav_method,dav_median,dav_low,dav_high
Quality,Avatar (unreal - sync),0.19247786738382922,0.007459831929693068,0.3791716432508374,97.89999999999999,posterior_predict,0.240064830954564,0.04506525036698096,0.42534952974703816,posterior_predict,0.21830267089432728,0.04131656403862642,0.3900444924888089
Quality,Sentiment (positive - negative),0.25689509801943694,0.14729869360475947,0.36850364746126474,100,posterior_predict,0.43975149828876414,0.18489886700991484,0.7222663617524331,posterior_predict,0.3027718365248523,0.13340304801164593,0.473130488440171
Quality,Interaction (sentiment x avatar),0.0697141321138986,-0.05793118110075616,0.19473494755912527,85.2,NA,NA,NA,NA,NA,NA,NA,NA
Realism,Avatar (unreal - sync),0.5429521573783126,0.2491563059170929,0.8386179709292692,100,posterior_predict,0.49913780806122,0.391737282939928,0.6206028044633196,posterior_predict,0.5622875780130174,0.4467947637096539,0.6833607478922353
Realism,Sentiment (positive - negative),0.08911595079620882,0.03270855684158002,0.14115554961119867,99.85000000000001,posterior_predict,0.21885809440606796,-0.048261313952483044,0.5183430143287631,posterior_predict,0.10316483898870647,-0.023257612023384205,0.24224150405077763
Realism,Interaction (sentiment x avatar),-0.07440959380702633,-0.17433422408174798,0.025434653606349972,7.6499999999999995,NA,NA,NA,NA,NA,NA,NA,NA
